elect_dist,year,type,office,total_votes,carson_prop,cruz_prop,kasich_prop,trump_prop,carson_tot,cruz_tot,kasich_tot,trump_tot
61009,2016,rep primary,pres,41,0.0975609756097561,0.2682926829268293,0.1951219512195122,0.43902439024390244,4,11,8,18
61010,2016,rep primary,pres,25,0,0.24,0.12,0.64,0,6,3,16
61011,2016,rep primary,pres,34,0,0.058823529411764705,0.17647058823529413,0.7647058823529411,0,2,6,26
61012,2016,rep primary,pres,113,0,0.061946902654867256,0.23893805309734514,0.6991150442477876,0,7,27,79
61013,2016,rep primary,pres,34,0,0.23529411764705882,0.11764705882352941,0.6470588235294118,0,8,4,22
61014,2016,rep primary,pres,54,0,0.24074074074074073,0.037037037037037035,0.7222222222222222,0,13,2,39
61015,2016,rep primary,pres,67,0,0.07462686567164178,0.1791044776119403,0.746268656716418,0,5,12,50
61016,2016,rep primary,pres,15,0.06666666666666667,0.4,0,0.5333333333333333,1,6,0,8
61017,2016,rep primary,pres,21,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.5238095238095238,1,5,4,11
61018,2016,rep primary,pres,52,0,0.17307692307692307,0.25,0.5769230769230769,0,9,13,30
61019,2016,rep primary,pres,40,0,0.15,0.05,0.8,0,6,2,32
61020,2016,rep primary,pres,47,0,0.14893617021276595,0.0851063829787234,0.7659574468085106,0,7,4,36
61021,2016,rep primary,pres,16,0,0.25,0.0625,0.6875,0,4,1,11
61022,2016,rep primary,pres,22,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.6818181818181818,1,3,3,15
61023,2016,rep primary,pres,50,0,0.1,0.16,0.74,0,5,8,37
61024,2016,rep primary,pres,115,0.008695652173913044,0.13043478260869565,0.09565217391304348,0.7652173913043478,1,15,11,88
61025,2016,rep primary,pres,49,0,0.02040816326530612,0.12244897959183673,0.8571428571428571,0,1,6,42
61026,2016,rep primary,pres,22,0,0.13636363636363635,0.18181818181818182,0.6818181818181818,0,3,4,15
61027,2016,rep primary,pres,39,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.8461538461538461,2,3,1,33
61028,2016,rep primary,pres,32,0,0.25,0.0625,0.6875,0,8,2,22
61029,2016,rep primary,pres,68,0,0.08823529411764706,0.11764705882352941,0.7941176470588235,0,6,8,54
61030,2016,rep primary,pres,43,0,0.13953488372093023,0.046511627906976744,0.813953488372093,0,6,2,35
61031,2016,rep primary,pres,26,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.6538461538461539,1,4,4,17
61032,2016,rep primary,pres,18,0,0.2777777777777778,0.1111111111111111,0.6111111111111112,0,5,2,11
61033,2016,rep primary,pres,7,0.14285714285714285,0.2857142857142857,0,0.5714285714285714,1,2,0,4
61034,2016,rep primary,pres,108,0,0.12962962962962962,0.046296296296296294,0.8240740740740741,0,14,5,89
61035,2016,rep primary,pres,117,0.008547008547008548,0.1111111111111111,0.07692307692307693,0.8034188034188035,1,13,9,94
61036,2016,rep primary,pres,52,0,0.057692307692307696,0.07692307692307693,0.8653846153846154,0,3,4,45
61037,2016,rep primary,pres,60,0.05,0.16666666666666666,0.16666666666666666,0.6166666666666667,3,10,10,37
61038,2016,rep primary,pres,108,0.009259259259259259,0.14814814814814814,0.17592592592592593,0.6666666666666666,1,16,19,72
61039,2016,rep primary,pres,97,0,0.13402061855670103,0.20618556701030927,0.6597938144329897,0,13,20,64
61040,2016,rep primary,pres,132,0,0.06060606060606061,0.2803030303030303,0.6590909090909091,0,8,37,87
61041,2016,rep primary,pres,141,0.014184397163120567,0.07801418439716312,0.12056737588652482,0.7872340425531915,2,11,17,111
61042,2016,rep primary,pres,144,0,0.06944444444444445,0.13194444444444445,0.7986111111111112,0,10,19,115
61043,2016,rep primary,pres,95,0,0.1368421052631579,0.17894736842105263,0.6842105263157895,0,13,17,65
61044,2016,rep primary,pres,92,0,0.10869565217391304,0.14130434782608695,0.75,0,10,13,69
61045,2016,rep primary,pres,91,0.01098901098901099,0.15384615384615385,0.10989010989010989,0.7252747252747253,1,14,10,66
61046,2016,rep primary,pres,118,0,0.0847457627118644,0.09322033898305085,0.8220338983050848,0,10,11,97
61047,2016,rep primary,pres,99,0.010101010101010102,0.06060606060606061,0.1111111111111111,0.8181818181818182,1,6,11,81
61048,2016,rep primary,pres,103,0,0.06796116504854369,0.10679611650485436,0.8252427184466019,0,7,11,85
61049,2016,rep primary,pres,41,0,0.14634146341463414,0.14634146341463414,0.7073170731707317,0,6,6,29
61050,2016,rep primary,pres,20,0,0.05,0.25,0.7,0,1,5,14
61051,2016,rep primary,pres,53,0.018867924528301886,0.18867924528301888,0.1509433962264151,0.6415094339622641,1,10,8,34
61052,2016,rep primary,pres,62,0,0.0967741935483871,0.11290322580645161,0.7903225806451613,0,6,7,49
61053,2016,rep primary,pres,6,0,0.16666666666666666,0.3333333333333333,0.5,0,1,2,3
