elect_dist,year,type,office,total_votes,albanese_prop,browder_prop,commey_prop,deblasio_prop,dietl_prop,malliotakis_prop,tolkin_prop,albanese_tot,browder_tot,commey_tot,deblasio_tot,dietl_tot,malliotakis_tot,tolkin_tot
45021,2017,general,mayor,126,0.007936507936507936,0,0,0.1746031746031746,0.015873015873015872,0.7777777777777778,0.023809523809523808,1,0,0,22,2,98,3
45022,2017,general,mayor,110,0,0,0,0.23636363636363636,0,0.7636363636363637,0,0,0,0,26,0,84,0
45023,2017,general,mayor,149,0.06040268456375839,0.006711409395973154,0,0.2953020134228188,0.013422818791946308,0.6241610738255033,0,9,1,0,44,2,93,0
45026,2017,general,mayor,107,0.018691588785046728,0.009345794392523364,0,0.4205607476635514,0.018691588785046728,0.514018691588785,0.018691588785046728,2,1,0,45,2,55,2
45027,2017,general,mayor,123,0,0,0,0.43902439024390244,0.008130081300813009,0.5284552845528455,0.024390243902439025,0,0,0,54,1,65,3
45028,2017,general,mayor,119,0.058823529411764705,0,0.008403361344537815,0.36134453781512604,0.008403361344537815,0.5630252100840336,0,7,0,1,43,1,67,0
45029,2017,general,mayor,107,0.009345794392523364,0.009345794392523364,0,0.32710280373831774,0,0.6355140186915887,0.018691588785046728,1,1,0,35,0,68,2
45030,2017,general,mayor,210,0.05714285714285714,0.009523809523809525,0.004761904761904762,0.28095238095238095,0.009523809523809525,0.6047619047619047,0.03333333333333333,12,2,1,59,2,127,7
45031,2017,general,mayor,160,0.00625,0.00625,0.00625,0.21875,0.0375,0.725,0,1,1,1,35,6,116,0
45032,2017,general,mayor,134,0.05223880597014925,0,0,0.19402985074626866,0,0.746268656716418,0.007462686567164179,7,0,0,26,0,100,1
45033,2017,general,mayor,174,0.022988505747126436,0.005747126436781609,0,0.28735632183908044,0.011494252873563218,0.6666666666666666,0.005747126436781609,4,1,0,50,2,116,1
45034,2017,general,mayor,133,0.05263157894736842,0,0,0.40601503759398494,0.007518796992481203,0.5338345864661654,0,7,0,0,54,1,71,0
45035,2017,general,mayor,185,0.032432432432432434,0.005405405405405406,0,0.24864864864864866,0.021621621621621623,0.6864864864864865,0.005405405405405406,6,1,0,46,4,127,1
45036,2017,general,mayor,112,0.03571428571428571,0,0,0.35714285714285715,0.008928571428571428,0.5892857142857143,0.008928571428571428,4,0,0,40,1,66,1
45037,2017,general,mayor,123,0.032520325203252036,0,0,0.2764227642276423,0.032520325203252036,0.6585365853658537,0,4,0,0,34,4,81,0
45038,2017,general,mayor,131,0.022900763358778626,0,0,0.37404580152671757,0.022900763358778626,0.5648854961832062,0.015267175572519083,3,0,0,49,3,74,2
45040,2017,general,mayor,186,0.04838709677419355,0.010752688172043012,0.005376344086021506,0.26344086021505375,0.005376344086021506,0.6666666666666666,0,9,2,1,49,1,124,0
45041,2017,general,mayor,69,0.028985507246376812,0.043478260869565216,0,0.2898550724637681,0.014492753623188406,0.6231884057971014,0,2,3,0,20,1,43,0
45042,2017,general,mayor,184,0.043478260869565216,0,0.005434782608695652,0.30434782608695654,0,0.6358695652173914,0.010869565217391304,8,0,1,56,0,117,2
45043,2017,general,mayor,204,0.04411764705882353,0,0,0.2549019607843137,0.014705882352941176,0.6813725490196079,0.004901960784313725,9,0,0,52,3,139,1
45044,2017,general,mayor,125,0.032,0.016,0.008,0.424,0.024,0.472,0.024,4,2,1,53,3,59,3
45045,2017,general,mayor,130,0.015384615384615385,0.038461538461538464,0.007692307692307693,0.7692307692307693,0.007692307692307693,0.16153846153846155,0,2,5,1,100,1,21,0
45046,2017,general,mayor,170,0.01764705882352941,0.01764705882352941,0,0.8823529411764706,0,0.07647058823529412,0.0058823529411764705,3,3,0,150,0,13,1
45047,2017,general,mayor,27,0.07407407407407407,0,0,0.37037037037037035,0,0.5555555555555556,0,2,0,0,10,0,15,0
45048,2017,general,mayor,160,0.01875,0.01875,0,0.25625,0.0125,0.675,0.01875,3,3,0,41,2,108,3
45055,2017,general,mayor,12,0,0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.6666666666666666,0,0,0,1,2,1,8,0
45057,2017,general,mayor,162,0.018518518518518517,0.006172839506172839,0.006172839506172839,0.3765432098765432,0.024691358024691357,0.5555555555555556,0.012345679012345678,3,1,1,61,4,90,2
45071,2017,general,mayor,172,0.03488372093023256,0.005813953488372093,0,0.20348837209302326,0.011627906976744186,0.7267441860465116,0.01744186046511628,6,1,0,35,2,125,3
