elect_dist,year,type,office,total_votes,clinton_prop,johnson_prop,stein_prop,trump_prop,clinton_tot,johnson_tot,stein_tot,trump_tot
46052,2016,general,pres,753,0.4767596281540505,0,0.0199203187250996,0.5033200531208499,359,0,15,379
46053,2016,general,pres,624,0.5881410256410257,0,0.03205128205128205,0.3798076923076923,367,0,20,237
46054,2016,general,pres,552,0.6340579710144928,0,0.012681159420289856,0.3532608695652174,350,0,7,195
46055,2016,general,pres,689,0.6473149492017417,0,0.02177068214804064,0.3309143686502177,446,0,15,228
46056,2016,general,pres,580,0.7034482758620689,0,0.032758620689655175,0.2637931034482759,408,0,19,153
46057,2016,general,pres,633,0.5466034755134281,0,0.01579778830963665,0.43759873617693523,346,0,10,277
46058,2016,general,pres,635,0.658267716535433,0,0.025196850393700787,0.3165354330708661,418,0,16,201
46059,2016,general,pres,675,0.6459259259259259,0,0.022222222222222223,0.33185185185185184,436,0,15,224
46060,2016,general,pres,796,0.5992462311557789,0,0.020100502512562814,0.3806532663316583,477,0,16,303
46061,2016,general,pres,668,0.5359281437125748,0,0.025449101796407185,0.43862275449101795,358,0,17,293
46062,2016,general,pres,843,0.5966785290628707,0,0.017793594306049824,0.38552787663107946,503,0,15,325
46063,2016,general,pres,518,0.6312741312741312,0,0.02702702702702703,0.3416988416988417,327,0,14,177
46064,2016,general,pres,736,0.5502717391304348,0,0.014945652173913044,0.43478260869565216,405,0,11,320
46065,2016,general,pres,706,0.5977337110481586,0,0.012747875354107648,0.3895184135977337,422,0,9,275
46066,2016,general,pres,430,0.5209302325581395,0,0.03255813953488372,0.44651162790697674,224,0,14,192
46067,2016,general,pres,709,0.36812411847672777,0,0.00846262341325811,0.6234132581100141,261,0,6,442
46068,2016,general,pres,597,0.4137353433835846,0,0.006700167504187605,0.5795644891122278,247,0,4,346
46069,2016,general,pres,546,0.43772893772893773,0,0.01098901098901099,0.5512820512820513,239,0,6,301
46070,2016,general,pres,543,0.2965009208103131,0,0.007366482504604052,0.6961325966850829,161,0,4,378
46071,2016,general,pres,583,0.40308747855917665,0,0.0137221269296741,0.5831903945111492,235,0,8,340
46072,2016,general,pres,700,0.5271428571428571,0,0.024285714285714285,0.44857142857142857,369,0,17,314
46074,2016,general,pres,132,0.6666666666666666,0,0,0.3333333333333333,88,0,0,44
46075,2016,general,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
46076,2016,general,pres,1,1,0,0,0,1,0,0,0
46078,2016,general,pres,454,0.5859030837004405,0,0.022026431718061675,0.3920704845814978,266,0,10,178
46079,2016,general,pres,578,0.2837370242214533,0,0.006920415224913495,0.7093425605536332,164,0,4,410
47001,2016,general,pres,595,0.4789915966386555,0,0.008403361344537815,0.5126050420168067,285,0,5,305
47002,2016,general,pres,558,0.5232974910394266,0,0.014336917562724014,0.46236559139784944,292,0,8,258
47005,2016,general,pres,452,0.5,0,0.00663716814159292,0.49336283185840707,226,0,3,223
47006,2016,general,pres,486,0.6008230452674898,0,0.012345679012345678,0.3868312757201646,292,0,6,188
47007,2016,general,pres,460,0.5934782608695652,0,0.006521739130434782,0.4,273,0,3,184
47008,2016,general,pres,392,0.4642857142857143,0,0.002551020408163265,0.5331632653061225,182,0,1,209
47009,2016,general,pres,586,0.5051194539249146,0,0.010238907849829351,0.48464163822525597,296,0,6,284
47011,2016,general,pres,424,0.47641509433962265,0,0.01179245283018868,0.5117924528301887,202,0,5,217
47012,2016,general,pres,445,0.5415730337078651,0,0.015730337078651686,0.44269662921348313,241,0,7,197
47013,2016,general,pres,483,0.577639751552795,0,0.010351966873706004,0.41200828157349895,279,0,5,199
47014,2016,general,pres,524,0.5286259541984732,0,0.003816793893129771,0.4675572519083969,277,0,2,245
47015,2016,general,pres,569,0.5957820738137083,0,0.015817223198594025,0.3884007029876977,339,0,9,221
47016,2016,general,pres,344,0.5406976744186046,0,0.014534883720930232,0.44476744186046513,186,0,5,153
47017,2016,general,pres,314,0.589171974522293,0,0.009554140127388535,0.4012738853503185,185,0,3,126
47018,2016,general,pres,534,0.43258426966292135,0,0.0018726591760299626,0.5655430711610487,231,0,1,302
47019,2016,general,pres,108,0.46296296296296297,0,0.009259259259259259,0.5277777777777778,50,0,1,57
47032,2016,general,pres,117,0.6324786324786325,0,0.03418803418803419,0.3333333333333333,74,0,4,39
47038,2016,general,pres,131,0.5267175572519084,0,0.007633587786259542,0.46564885496183206,69,0,1,61
