elect_dist,year,type,office,total_votes,obama_tot,romney_tot,obama_prop,romney_prop
46069,2012,general,president,673,275,392,0.4086181277860327,0.5824665676077266
46070,2012,general,president,630,209,413,0.33174603174603173,0.6555555555555556
46071,2012,general,president,634,277,348,0.43690851735015773,0.5488958990536278
46072,2012,general,president,637,363,262,0.5698587127158555,0.41130298273155413
46073,2012,general,president,508,280,222,0.5511811023622047,0.43700787401574803
46074,2012,general,president,239,126,112,0.5271966527196653,0.4686192468619247
46075,2012,general,president,604,332,260,0.5496688741721855,0.4304635761589404
46080,2012,general,president,1,1,0,1,0
46081,2012,general,president,567,260,300,0.4585537918871252,0.5291005291005291
47001,2012,general,president,459,242,208,0.5272331154684096,0.4531590413943355
47002,2012,general,president,456,285,164,0.625,0.35964912280701755
47005,2012,general,president,409,256,149,0.6259168704156479,0.3643031784841076
47006,2012,general,president,405,291,111,0.7185185185185186,0.2740740740740741
47007,2012,general,president,350,220,125,0.6285714285714286,0.35714285714285715
47008,2012,general,president,349,187,154,0.5358166189111748,0.44126074498567336
47009,2012,general,president,520,284,231,0.5461538461538461,0.4442307692307692
47010,2012,general,president,88,43,45,0.48863636363636365,0.5113636363636364
47011,2012,general,president,394,201,182,0.5101522842639594,0.4619289340101523
47012,2012,general,president,387,212,171,0.5478036175710594,0.4418604651162791
47013,2012,general,president,302,191,108,0.6324503311258278,0.3576158940397351
47014,2012,general,president,393,221,162,0.5623409669211196,0.4122137404580153
47015,2012,general,president,501,268,226,0.5349301397205589,0.45109780439121755
47016,2012,general,president,381,216,162,0.5669291338582677,0.4251968503937008
47017,2012,general,president,280,162,112,0.5785714285714286,0.4
47018,2012,general,president,463,185,275,0.39956803455723544,0.593952483801296
47019,2012,general,president,236,105,129,0.4449152542372881,0.5466101694915254
47032,2012,general,president,115,81,30,0.7043478260869566,0.2608695652173913
47038,2012,general,president,133,71,58,0.5338345864661654,0.43609022556390975
47041,2012,general,president,373,196,174,0.5254691689008043,0.46648793565683644
47048,2012,general,president,354,170,179,0.480225988700565,0.5056497175141242
47049,2012,general,president,536,249,281,0.46455223880597013,0.5242537313432836
47052,2012,general,president,78,55,21,0.7051282051282052,0.2692307692307692
47053,2012,general,president,328,316,10,0.9634146341463414,0.03048780487804878
47054,2012,general,president,326,319,6,0.9785276073619632,0.018404907975460124
47055,2012,general,president,316,196,118,0.620253164556962,0.37341772151898733
47056,2012,general,president,406,226,176,0.5566502463054187,0.43349753694581283
47057,2012,general,president,447,222,221,0.49664429530201343,0.49440715883668906
47058,2012,general,president,352,197,155,0.5596590909090909,0.4403409090909091
47059,2012,general,president,376,181,193,0.48138297872340424,0.5132978723404256
47060,2012,general,president,171,105,66,0.6140350877192983,0.38596491228070173
47061,2012,general,president,276,181,91,0.6557971014492754,0.32971014492753625
47062,2012,general,president,352,161,186,0.45738636363636365,0.5284090909090909
47063,2012,general,president,451,268,172,0.5942350332594235,0.38137472283813745
47064,2012,general,president,377,193,179,0.5119363395225465,0.47480106100795755
47065,2012,general,president,236,120,113,0.5084745762711864,0.4788135593220339
49036,2012,general,president,139,92,44,0.6618705035971223,0.31654676258992803
49044,2012,general,president,128,75,52,0.5859375,0.40625
49045,2012,general,president,136,62,73,0.45588235294117646,0.5367647058823529
49047,2012,general,president,389,271,113,0.6966580976863753,0.29048843187660667
49048,2012,general,president,512,263,237,0.513671875,0.462890625
49049,2012,general,president,414,254,156,0.6135265700483091,0.37681159420289856
49050,2012,general,president,563,374,178,0.6642984014209592,0.31616341030195383
49051,2012,general,president,418,245,166,0.5861244019138756,0.39712918660287083
49052,2012,general,president,535,295,236,0.5514018691588785,0.4411214953271028
49053,2012,general,president,569,282,284,0.4956063268892794,0.4991212653778559
49054,2012,general,president,664,314,345,0.47289156626506024,0.5195783132530121
51059,2012,general,president,612,447,154,0.7303921568627451,0.25163398692810457
64075,2012,general,president,715,447,259,0.6251748251748251,0.3622377622377622
64076,2012,general,president,672,434,223,0.6458333333333334,0.3318452380952381
64077,2012,general,president,675,409,248,0.605925925925926,0.3674074074074074
64078,2012,general,president,758,502,244,0.662269129287599,0.32189973614775724
64079,2012,general,president,559,398,154,0.7119856887298748,0.27549194991055453
64080,2012,general,president,514,365,131,0.7101167315175098,0.25486381322957197
64081,2012,general,president,267,191,71,0.7153558052434457,0.26591760299625467
64083,2012,general,president,640,456,175,0.7125,0.2734375
64084,2012,general,president,587,347,233,0.5911413969335605,0.3969335604770017
64085,2012,general,president,595,373,207,0.626890756302521,0.34789915966386553
64086,2012,general,president,586,404,169,0.689419795221843,0.2883959044368601
64087,2012,general,president,462,290,161,0.6277056277056277,0.3484848484848485
64088,2012,general,president,604,357,236,0.5910596026490066,0.39072847682119205
64089,2012,general,president,577,215,353,0.37261698440207974,0.6117850953206239
64090,2012,general,president,616,352,255,0.5714285714285714,0.413961038961039
64091,2012,general,president,311,104,203,0.33440514469453375,0.6527331189710611
61003,2012,general,president,751,635,102,0.8455392809587217,0.13581890812250333
61004,2012,general,president,647,502,130,0.7758887171561051,0.2009273570324575
61005,2012,general,president,465,424,26,0.9118279569892473,0.05591397849462366
61006,2012,general,president,574,450,113,0.7839721254355401,0.19686411149825783
61007,2012,general,president,663,650,11,0.9803921568627451,0.016591251885369532
61008,2012,general,president,709,664,33,0.9365303244005642,0.0465444287729196
61009,2012,general,president,739,593,135,0.8024357239512855,0.18267929634641408
61010,2012,general,president,634,534,93,0.8422712933753943,0.14668769716088328
61011,2012,general,president,398,305,88,0.7663316582914573,0.22110552763819097
61012,2012,general,president,813,493,308,0.6063960639606396,0.37884378843788435
61013,2012,general,president,744,642,93,0.8629032258064516,0.125
