elect_dist,year,type,office,total_votes,mcmahon_tot,straniere_tot,mcmahon_prop,straniere_prop
63006,2008,general,congress,390,282,87,0.7230769230769231,0.2230769230769231
63007,2008,general,congress,390,293,79,0.7512820512820513,0.20256410256410257
63010,2008,general,congress,1150,513,539,0.44608695652173913,0.46869565217391307
63011,2008,general,congress,1928,673,1141,0.34906639004149376,0.591804979253112
63013,2008,general,congress,378,163,169,0.4312169312169312,0.4470899470899471
63014,2008,general,congress,435,209,189,0.4804597701149425,0.43448275862068964
63015,2008,general,congress,415,169,187,0.4072289156626506,0.4506024096385542
63017,2008,general,congress,422,168,211,0.3981042654028436,0.5
63018,2008,general,congress,520,136,339,0.26153846153846155,0.6519230769230769
63019,2008,general,congress,462,140,276,0.30303030303030304,0.5974025974025974
63020,2008,general,congress,341,140,171,0.41055718475073316,0.501466275659824
63021,2008,general,congress,400,303,72,0.7575,0.18
63022,2008,general,congress,397,153,187,0.3853904282115869,0.47103274559193953
63024,2008,general,congress,417,331,60,0.7937649880095923,0.14388489208633093
63025,2008,general,congress,483,229,216,0.474120082815735,0.4472049689440994
63027,2008,general,congress,436,185,199,0.4243119266055046,0.45642201834862384
63029,2008,general,congress,531,264,236,0.4971751412429379,0.4444444444444444
63030,2008,general,congress,500,241,224,0.482,0.448
63031,2008,general,congress,565,322,217,0.5699115044247788,0.384070796460177
63032,2008,general,congress,441,139,257,0.31519274376417233,0.5827664399092971
63033,2008,general,congress,380,192,151,0.5052631578947369,0.3973684210526316
63034,2008,general,congress,734,343,327,0.4673024523160763,0.44550408719346046
63039,2008,general,congress,667,412,218,0.6176911544227887,0.3268365817091454
63036,2008,general,congress,291,129,139,0.44329896907216493,0.47766323024054985
63037,2008,general,congress,486,151,308,0.31069958847736623,0.6337448559670782
63038,2008,general,congress,393,162,196,0.4122137404580153,0.49872773536895676
63040,2008,general,congress,429,124,285,0.289044289044289,0.6643356643356644
63041,2008,general,congress,365,100,237,0.273972602739726,0.6493150684931507
63043,2008,general,congress,458,174,249,0.3799126637554585,0.5436681222707423
63044,2008,general,congress,1072,544,452,0.5074626865671642,0.4216417910447761
63045,2008,general,congress,1204,562,465,0.46677740863787376,0.3862126245847176
63046,2008,general,congress,519,221,259,0.4258188824662813,0.49903660886319845
63048,2008,general,congress,535,276,232,0.5158878504672897,0.4336448598130841
63050,2008,general,congress,460,237,188,0.5152173913043478,0.40869565217391307
63051,2008,general,congress,480,212,223,0.44166666666666665,0.46458333333333335
63052,2008,general,congress,471,204,237,0.43312101910828027,0.5031847133757962
63053,2008,general,congress,420,159,233,0.37857142857142856,0.5547619047619048
63054,2008,general,congress,405,175,197,0.43209876543209874,0.48641975308641977
63055,2008,general,congress,472,193,243,0.4088983050847458,0.5148305084745762
63056,2008,general,congress,374,179,176,0.4786096256684492,0.47058823529411764
63057,2008,general,congress,481,194,245,0.40332640332640335,0.5093555093555093
63058,2008,general,congress,502,163,286,0.3247011952191235,0.5697211155378487
63059,2008,general,congress,332,140,156,0.42168674698795183,0.46987951807228917
63060,2008,general,congress,443,284,137,0.6410835214446953,0.309255079006772
63061,2008,general,congress,499,312,154,0.625250501002004,0.30861723446893785
63062,2008,general,congress,481,166,278,0.34511434511434513,0.577962577962578
63063,2008,general,congress,466,338,104,0.7253218884120172,0.22317596566523606
63066,2008,general,congress,1742,1260,384,0.7233065442020666,0.22043628013777267
63067,2008,general,congress,533,211,292,0.39587242026266417,0.5478424015009381
63068,2008,general,congress,497,226,231,0.45472837022132795,0.4647887323943662
63069,2008,general,congress,527,205,291,0.3889943074003795,0.5521821631878557
63070,2008,general,congress,536,212,284,0.39552238805970147,0.5298507462686567
63071,2008,general,congress,477,198,229,0.41509433962264153,0.480083857442348
63072,2008,general,congress,479,164,277,0.34237995824634654,0.5782881002087683
63073,2008,general,congress,454,191,233,0.42070484581497797,0.513215859030837
63074,2008,general,congress,521,258,236,0.4952015355086372,0.45297504798464494
63075,2008,general,congress,505,219,247,0.43366336633663366,0.4891089108910891
63076,2008,general,congress,502,138,331,0.2749003984063745,0.6593625498007968
63077,2008,general,congress,504,383,90,0.7599206349206349,0.17857142857142858
63078,2008,general,congress,647,562,63,0.8686244204018547,0.0973724884080371
63079,2008,general,congress,572,521,30,0.9108391608391608,0.05244755244755245
63080,2008,general,congress,410,170,205,0.4146341463414634,0.5
63081,2008,general,congress,978,376,534,0.38445807770961143,0.5460122699386503
63082,2008,general,congress,550,179,327,0.32545454545454544,0.5945454545454546
63087,2008,general,congress,2836,1440,1196,0.5077574047954866,0.4217207334273625
63088,2008,general,congress,426,168,221,0.39436619718309857,0.5187793427230047
63089,2008,general,congress,629,376,218,0.5977742448330684,0.3465818759936407
63091,2008,general,congress,516,158,308,0.3062015503875969,0.5968992248062015
63092,2008,general,congress,385,166,190,0.43116883116883115,0.4935064935064935
63093,2008,general,congress,537,208,289,0.38733705772811916,0.5381750465549349
63094,2008,general,congress,397,149,222,0.37531486146095716,0.5591939546599496
63095,2008,general,congress,500,189,282,0.378,0.564
63096,2008,general,congress,362,167,171,0.4613259668508287,0.4723756906077348
63098,2008,general,congress,0,0,0,NaN,NaN
63099,2008,general,congress,0,0,0,NaN,NaN
63100,2008,general,congress,0,0,0,NaN,NaN
63101,2008,general,congress,0,0,0,NaN,NaN
