elect_dist,year,type,office,total_votes,mcmahon_tot,straniere_tot,mcmahon_prop,straniere_prop
47030,2008,general,congress,446,228,199,0.5112107623318386,0.4461883408071749
47031,2008,general,congress,311,155,140,0.4983922829581994,0.45016077170418006
47032,2008,general,congress,235,105,113,0.44680851063829785,0.4808510638297872
47033,2008,general,congress,7,1,5,0.14285714285714285,0.7142857142857143
47034,2008,general,congress,353,182,150,0.5155807365439093,0.42492917847025496
47035,2008,general,congress,270,156,102,0.5777777777777777,0.37777777777777777
47036,2008,general,congress,92,39,46,0.42391304347826086,0.5
47093,2008,general,congress,269,156,98,0.5799256505576208,0.36431226765799257
47038,2008,general,congress,173,72,92,0.4161849710982659,0.5317919075144508
47040,2008,general,congress,745,323,362,0.43355704697986575,0.48590604026845635
47049,2008,general,congress,272,129,127,0.4742647058823529,0.46691176470588236
47050,2008,general,congress,368,180,165,0.4891304347826087,0.4483695652173913
47051,2008,general,congress,294,138,141,0.46938775510204084,0.47959183673469385
47052,2008,general,congress,168,84,71,0.5,0.4226190476190476
47053,2008,general,congress,451,210,219,0.4656319290465632,0.48558758314855877
47055,2008,general,congress,299,148,133,0.49498327759197325,0.44481605351170567
47087,2008,general,congress,82,38,42,0.4634146341463415,0.5121951219512195
47088,2008,general,congress,0,0,0,NaN,NaN
47089,2008,general,congress,40,13,25,0.325,0.625
47092,2008,general,congress,6,5,1,0.8333333333333334,0.16666666666666666
47098,2008,general,congress,51,26,23,0.5098039215686274,0.45098039215686275
48054,2008,general,congress,383,181,183,0.4725848563968668,0.47780678851174935
48055,2008,general,congress,332,152,155,0.4578313253012048,0.46686746987951805
48056,2008,general,congress,351,136,186,0.38746438746438744,0.5299145299145299
48057,2008,general,congress,357,168,161,0.47058823529411764,0.45098039215686275
48058,2008,general,congress,430,149,236,0.34651162790697676,0.5488372093023256
48059,2008,general,congress,378,123,225,0.3253968253968254,0.5952380952380952
48060,2008,general,congress,468,191,226,0.4081196581196581,0.4829059829059829
48061,2008,general,congress,393,193,177,0.4910941475826972,0.45038167938931295
48062,2008,general,congress,444,255,156,0.5743243243243243,0.35135135135135137
48075,2008,general,congress,387,202,139,0.5219638242894057,0.35917312661498707
48076,2008,general,congress,268,157,86,0.585820895522388,0.3208955223880597
48077,2008,general,congress,408,245,131,0.6004901960784313,0.32107843137254904
48078,2008,general,congress,544,308,171,0.5661764705882353,0.31433823529411764
48086,2008,general,congress,187,111,59,0.5935828877005348,0.3155080213903743
49001,2008,general,congress,417,215,169,0.5155875299760192,0.4052757793764988
49002,2008,general,congress,49,23,24,0.46938775510204084,0.4897959183673469
49014,2008,general,congress,421,182,204,0.4323040380047506,0.4845605700712589
49015,2008,general,congress,259,136,108,0.525096525096525,0.416988416988417
49016,2008,general,congress,352,211,108,0.5994318181818182,0.3068181818181818
49019,2008,general,congress,531,214,270,0.4030131826741996,0.5084745762711864
49020,2008,general,congress,253,113,123,0.44664031620553357,0.48616600790513836
49021,2008,general,congress,275,159,99,0.5781818181818181,0.36
49027,2008,general,congress,392,167,191,0.4260204081632653,0.4872448979591837
49028,2008,general,congress,435,166,227,0.3816091954022989,0.5218390804597701
49029,2008,general,congress,376,170,182,0.4521276595744681,0.48404255319148937
49030,2008,general,congress,352,154,172,0.4375,0.48863636363636365
49031,2008,general,congress,346,146,179,0.42196531791907516,0.5173410404624278
49032,2008,general,congress,301,125,160,0.4152823920265781,0.53156146179402
49033,2008,general,congress,866,337,466,0.3891454965357968,0.5381062355658198
49034,2008,general,congress,452,244,179,0.5398230088495575,0.39601769911504425
49035,2008,general,congress,275,135,110,0.4909090909090909,0.4
49036,2008,general,congress,328,151,156,0.4603658536585366,0.47560975609756095
49037,2008,general,congress,392,230,137,0.5867346938775511,0.3494897959183674
49038,2008,general,congress,340,155,152,0.45588235294117646,0.4470588235294118
49039,2008,general,congress,257,121,116,0.4708171206225681,0.45136186770428016
49040,2008,general,congress,355,202,134,0.5690140845070423,0.37746478873239436
49047,2008,general,congress,282,181,85,0.6418439716312057,0.30141843971631205
49048,2008,general,congress,292,172,104,0.589041095890411,0.3561643835616438
49049,2008,general,congress,321,186,107,0.5794392523364486,0.3333333333333333
49050,2008,general,congress,343,186,133,0.5422740524781341,0.3877551020408163
49051,2008,general,congress,353,177,142,0.5014164305949008,0.40226628895184136
49054,2008,general,congress,172,86,78,0.5,0.45348837209302323
49055,2008,general,congress,206,97,95,0.470873786407767,0.46116504854368934
49057,2008,general,congress,219,91,115,0.4155251141552511,0.5251141552511416
49058,2008,general,congress,378,183,167,0.48412698412698413,0.4417989417989418
49064,2008,general,congress,320,144,153,0.45,0.478125
49065,2008,general,congress,290,119,142,0.4103448275862069,0.4896551724137931
49067,2008,general,congress,166,89,57,0.536144578313253,0.3433734939759036
49068,2008,general,congress,375,178,166,0.4746666666666667,0.44266666666666665
49069,2008,general,congress,195,110,71,0.5641025641025641,0.3641025641025641
49082,2008,general,congress,46,32,9,0.6956521739130435,0.1956521739130435
49087,2008,general,congress,126,56,59,0.4444444444444444,0.46825396825396826
49088,2008,general,congress,69,33,25,0.4782608695652174,0.36231884057971014
49089,2008,general,congress,155,85,61,0.5483870967741935,0.3935483870967742
51080,2008,general,congress,267,162,77,0.6067415730337079,0.2883895131086142
60080,2008,general,congress,288,174,83,0.6041666666666666,0.2881944444444444
60081,2008,general,congress,446,234,173,0.5246636771300448,0.38789237668161436
60082,2008,general,congress,182,113,50,0.6208791208791209,0.27472527472527475
60084,2008,general,congress,497,265,183,0.5331991951710262,0.3682092555331992
60085,2008,general,congress,541,315,188,0.5822550831792976,0.34750462107208874
60086,2008,general,congress,349,220,103,0.6303724928366762,0.29512893982808025
60087,2008,general,congress,459,292,138,0.6361655773420479,0.3006535947712418
60088,2008,general,congress,380,275,72,0.7236842105263158,0.18947368421052632
60089,2008,general,congress,449,294,120,0.6547884187082406,0.267260579064588
60090,2008,general,congress,465,261,166,0.5612903225806452,0.35698924731182796
60091,2008,general,congress,437,193,191,0.4416475972540046,0.43707093821510296
60092,2008,general,congress,514,315,152,0.6128404669260701,0.29571984435797666
60093,2008,general,congress,594,347,189,0.5841750841750841,0.3181818181818182
60094,2008,general,congress,447,275,124,0.6152125279642058,0.27740492170022374
60095,2008,general,congress,498,300,148,0.6024096385542169,0.2971887550200803
60096,2008,general,congress,428,241,140,0.5630841121495327,0.32710280373831774
60097,2008,general,congress,427,236,157,0.5526932084309133,0.36768149882903983
