elect_dist,year,type,office,total_votes,clinton_prop,sanders_prop,clinton_tot,sanders_tot
46062,2016,dem primary,pres,282,0.5638297872340425,0.43617021276595747,159,123
46063,2016,dem primary,pres,130,0.5769230769230769,0.4230769230769231,75,55
46064,2016,dem primary,pres,201,0.46766169154228854,0.5323383084577115,94,107
46065,2016,dem primary,pres,189,0.5026455026455027,0.4973544973544973,95,94
46066,2016,dem primary,pres,88,0.38636363636363635,0.6136363636363636,34,54
46067,2016,dem primary,pres,119,0.5126050420168067,0.48739495798319327,61,58
46068,2016,dem primary,pres,131,0.3816793893129771,0.6183206106870229,50,81
46069,2016,dem primary,pres,109,0.43119266055045874,0.5688073394495413,47,62
46070,2016,dem primary,pres,68,0.29411764705882354,0.7058823529411765,20,48
46071,2016,dem primary,pres,98,0.4489795918367347,0.5510204081632653,44,54
46072,2016,dem primary,pres,132,0.4166666666666667,0.5833333333333334,55,77
46074,2016,dem primary,pres,18,0.3333333333333333,0.6666666666666666,6,12
46075,2016,dem primary,pres,0,NaN,NaN,0,0
46078,2016,dem primary,pres,110,0.4818181818181818,0.5181818181818182,53,57
46079,2016,dem primary,pres,94,0.5638297872340425,0.43617021276595747,53,41
47001,2016,dem primary,pres,116,0.4482758620689655,0.5517241379310345,52,64
47002,2016,dem primary,pres,129,0.4263565891472868,0.5736434108527132,55,74
47005,2016,dem primary,pres,95,0.5157894736842106,0.4842105263157895,49,46
47006,2016,dem primary,pres,100,0.42,0.58,42,58
47007,2016,dem primary,pres,92,0.391304347826087,0.6086956521739131,36,56
47008,2016,dem primary,pres,82,0.5121951219512195,0.4878048780487805,42,40
47009,2016,dem primary,pres,102,0.5686274509803921,0.43137254901960786,58,44
47011,2016,dem primary,pres,65,0.4,0.6,26,39
47012,2016,dem primary,pres,89,0.3707865168539326,0.6292134831460674,33,56
47013,2016,dem primary,pres,90,0.5,0.5,45,45
47014,2016,dem primary,pres,102,0.46078431372549017,0.5392156862745098,47,55
47015,2016,dem primary,pres,65,0.5076923076923077,0.49230769230769234,33,32
47016,2016,dem primary,pres,55,0.4,0.6,22,33
47017,2016,dem primary,pres,66,0.30303030303030304,0.696969696969697,20,46
47018,2016,dem primary,pres,88,0.5113636363636364,0.48863636363636365,45,43
47019,2016,dem primary,pres,14,0.2857142857142857,0.7142857142857143,4,10
47032,2016,dem primary,pres,37,0.4594594594594595,0.5405405405405406,17,20
47038,2016,dem primary,pres,31,0.5806451612903226,0.41935483870967744,18,13
47041,2016,dem primary,pres,123,0.36585365853658536,0.6341463414634146,45,78
47048,2016,dem primary,pres,94,0.46808510638297873,0.5319148936170213,44,50
47049,2016,dem primary,pres,78,0.47435897435897434,0.5256410256410257,37,41
47053,2016,dem primary,pres,119,0.6302521008403361,0.3697478991596639,75,44
47054,2016,dem primary,pres,120,0.6833333333333333,0.31666666666666665,82,38
47055,2016,dem primary,pres,90,0.4444444444444444,0.5555555555555556,40,50
47056,2016,dem primary,pres,85,0.6,0.4,51,34
47057,2016,dem primary,pres,157,0.5159235668789809,0.4840764331210191,81,76
47058,2016,dem primary,pres,98,0.41836734693877553,0.5816326530612245,41,57
47059,2016,dem primary,pres,106,0.6037735849056604,0.39622641509433965,64,42
47060,2016,dem primary,pres,54,0.5925925925925926,0.4074074074074074,32,22
47061,2016,dem primary,pres,76,0.5526315789473685,0.4473684210526316,42,34
47062,2016,dem primary,pres,54,0.5370370370370371,0.46296296296296297,29,25
47063,2016,dem primary,pres,117,0.4188034188034188,0.5811965811965812,49,68
47064,2016,dem primary,pres,93,0.3978494623655914,0.6021505376344086,37,56
47065,2016,dem primary,pres,101,0.5841584158415841,0.4158415841584158,59,42
47066,2016,dem primary,pres,31,0.3225806451612903,0.6774193548387096,10,21
47067,2016,dem primary,pres,50,0.46,0.54,23,27
47068,2016,dem primary,pres,25,0.48,0.52,12,13
49036,2016,dem primary,pres,23,0.5652173913043478,0.43478260869565216,13,10
49044,2016,dem primary,pres,25,0.56,0.44,14,11
49045,2016,dem primary,pres,30,0.4666666666666667,0.5333333333333333,14,16
49047,2016,dem primary,pres,104,0.46153846153846156,0.5384615384615384,48,56
49048,2016,dem primary,pres,119,0.37815126050420167,0.6218487394957983,45,74
49049,2016,dem primary,pres,107,0.4205607476635514,0.5794392523364486,45,62
49050,2016,dem primary,pres,136,0.4338235294117647,0.5661764705882353,59,77
