elect_dist,year,type,office,total_votes,murphy_tot,grimm_tot,murphy_prop,grimm_prop
64051,2012,general,congressional,599,366,231,0.6110183639398998,0.38564273789649417
64052,2012,general,congressional,561,265,289,0.47237076648841353,0.5151515151515151
64053,2012,general,congressional,484,245,238,0.506198347107438,0.49173553719008267
64054,2012,general,congressional,0,0,0,NaN,NaN
64055,2012,general,congressional,0,0,0,NaN,NaN
64056,2012,general,congressional,0,0,0,NaN,NaN
64057,2012,general,congressional,0,0,0,NaN,NaN
64058,2012,general,congressional,0,0,0,NaN,NaN
64075,2012,general,congressional,645,379,258,0.5875968992248062,0.4
64076,2012,general,congressional,591,335,244,0.5668358714043993,0.4128595600676819
64077,2012,general,congressional,629,363,252,0.5771065182829889,0.40063593004769477
64078,2012,general,congressional,675,435,231,0.6444444444444445,0.3422222222222222
64079,2012,general,congressional,501,330,165,0.6586826347305389,0.32934131736526945
64080,2012,general,congressional,470,326,128,0.6936170212765957,0.2723404255319149
64081,2012,general,congressional,222,149,70,0.6711711711711712,0.3153153153153153
64083,2012,general,congressional,561,367,183,0.6541889483065954,0.32620320855614976
64084,2012,general,congressional,539,296,234,0.549165120593692,0.43413729128014844
64085,2012,general,congressional,530,299,220,0.5641509433962264,0.41509433962264153
64086,2012,general,congressional,535,354,174,0.6616822429906543,0.3252336448598131
64087,2012,general,congressional,428,241,181,0.5630841121495327,0.42289719626168226
64088,2012,general,congressional,554,315,221,0.5685920577617328,0.3989169675090253
64089,2012,general,congressional,547,197,341,0.360146252285192,0.623400365630713
64090,2012,general,congressional,557,302,246,0.5421903052064632,0.44165170556552963
64091,2012,general,congressional,272,84,185,0.3088235294117647,0.6801470588235294
64093,2012,general,congressional,0,0,0,NaN,NaN
64094,2012,general,congressional,0,0,0,NaN,NaN
64097,2012,general,congressional,0,0,0,NaN,NaN
