elect_dist,year,type,office,total_votes,murphy_tot,grimm_tot,murphy_prop,grimm_prop
61047,2012,general,congressional,452,139,305,0.3075221238938053,0.6747787610619469
61048,2012,general,congressional,442,128,307,0.2895927601809955,0.6945701357466063
61049,2012,general,congressional,701,545,149,0.7774607703281027,0.21255349500713266
61050,2012,general,congressional,655,533,114,0.8137404580152672,0.17404580152671756
61051,2012,general,congressional,619,448,158,0.7237479806138933,0.2552504038772213
61052,2012,general,congressional,674,476,186,0.7062314540059347,0.27596439169139464
61053,2012,general,congressional,736,710,24,0.9646739130434783,0.03260869565217391
61054,2012,general,congressional,494,377,109,0.7631578947368421,0.22064777327935223
61055,2012,general,congressional,635,537,93,0.8456692913385827,0.14645669291338584
61056,2012,general,congressional,678,597,77,0.8805309734513275,0.11356932153392331
61057,2012,general,congressional,642,444,194,0.6915887850467289,0.30218068535825543
61058,2012,general,congressional,680,652,27,0.9588235294117647,0.039705882352941174
61059,2012,general,congressional,686,640,40,0.9329446064139941,0.05830903790087463
61060,2012,general,congressional,499,383,111,0.7675350701402806,0.22244488977955912
61061,2012,general,congressional,629,617,12,0.9809220985691574,0.019077901430842606
61062,2012,general,congressional,0,0,0,NaN,NaN
61063,2012,general,congressional,0,0,0,NaN,NaN
61064,2012,general,congressional,0,0,0,NaN,NaN
61065,2012,general,congressional,0,0,0,NaN,NaN
62001,2012,general,congressional,660,177,477,0.2681818181818182,0.7227272727272728
62002,2012,general,congressional,680,146,528,0.21470588235294116,0.7764705882352941
62003,2012,general,congressional,634,132,497,0.2082018927444795,0.7839116719242902
62004,2012,general,congressional,498,150,345,0.30120481927710846,0.6927710843373494
62005,2012,general,congressional,690,156,528,0.22608695652173913,0.7652173913043478
62006,2012,general,congressional,672,188,480,0.27976190476190477,0.7142857142857143
62007,2012,general,congressional,686,184,496,0.26822157434402333,0.7230320699708455
62008,2012,general,congressional,678,187,484,0.275811209439528,0.7138643067846607
62009,2012,general,congressional,305,87,217,0.28524590163934427,0.7114754098360656
62010,2012,general,congressional,348,88,257,0.25287356321839083,0.7385057471264368
62011,2012,general,congressional,658,142,511,0.21580547112462006,0.776595744680851
62012,2012,general,congressional,612,178,432,0.2908496732026144,0.7058823529411765
62013,2012,general,congressional,625,199,418,0.3184,0.6688
62014,2012,general,congressional,566,182,382,0.3215547703180212,0.6749116607773852
62015,2012,general,congressional,625,213,409,0.3408,0.6544
62016,2012,general,congressional,592,235,350,0.3969594594594595,0.5912162162162162
62017,2012,general,congressional,610,166,441,0.2721311475409836,0.7229508196721312
62018,2012,general,congressional,630,185,442,0.29365079365079366,0.7015873015873015
62019,2012,general,congressional,669,158,511,0.23617339312406577,0.7638266068759342
62020,2012,general,congressional,621,163,453,0.26247987117552335,0.7294685990338164
62021,2012,general,congressional,575,114,456,0.19826086956521738,0.7930434782608695
62022,2012,general,congressional,631,161,470,0.2551505546751189,0.7448494453248812
62023,2012,general,congressional,628,140,487,0.2229299363057325,0.7754777070063694
62024,2012,general,congressional,576,195,379,0.3385416666666667,0.6579861111111112
62025,2012,general,congressional,633,164,467,0.25908372827804105,0.7377567140600316
62026,2012,general,congressional,630,263,360,0.4174603174603175,0.5714285714285714
62027,2012,general,congressional,626,177,442,0.2827476038338658,0.7060702875399361
62028,2012,general,congressional,587,166,420,0.282793867120954,0.7155025553662692
62029,2012,general,congressional,525,114,407,0.21714285714285714,0.7752380952380953
62030,2012,general,congressional,660,126,527,0.19090909090909092,0.7984848484848485
62031,2012,general,congressional,640,186,449,0.290625,0.7015625
62032,2012,general,congressional,644,144,495,0.2236024844720497,0.7686335403726708
62033,2012,general,congressional,635,129,500,0.2031496062992126,0.7874015748031497
62034,2012,general,congressional,678,153,520,0.22566371681415928,0.7669616519174042
62035,2012,general,congressional,662,132,527,0.19939577039274925,0.7960725075528701
62036,2012,general,congressional,655,151,501,0.23053435114503817,0.7648854961832061
62037,2012,general,congressional,678,165,509,0.24336283185840707,0.7507374631268436
62038,2012,general,congressional,606,176,422,0.29042904290429045,0.6963696369636964
62039,2012,general,congressional,662,142,513,0.21450151057401812,0.7749244712990937
62040,2012,general,congressional,606,157,445,0.2590759075907591,0.7343234323432343
62041,2012,general,congressional,575,156,416,0.271304347826087,0.7234782608695652
62042,2012,general,congressional,682,186,486,0.2727272727272727,0.7126099706744868
62043,2012,general,congressional,641,197,439,0.3073322932917317,0.6848673946957878
62044,2012,general,congressional,640,176,460,0.275,0.71875
62045,2012,general,congressional,582,160,413,0.27491408934707906,0.7096219931271478
62046,2012,general,congressional,632,156,473,0.2468354430379747,0.7484177215189873
62047,2012,general,congressional,637,181,455,0.28414442700156983,0.7142857142857143
62048,2012,general,congressional,593,192,396,0.32377740303541314,0.6677908937605397
62049,2012,general,congressional,628,201,423,0.3200636942675159,0.6735668789808917
62050,2012,general,congressional,607,161,444,0.2652388797364086,0.7314662273476112
62051,2012,general,congressional,599,210,384,0.35058430717863104,0.6410684474123539
62052,2012,general,congressional,613,167,442,0.2724306688417618,0.7210440456769984
