elect_dist,year,type,office,total_votes,donovan_prop,gentile_prop,lane_prop,donovan_tot,gentile_tot,lane_tot
46057,2015,special,cong,165,0.2787878787878788,0.7090909090909091,0.012121212121212121,46,117,2
46058,2015,special,cong,215,0.2651162790697674,0.6930232558139535,0.04186046511627907,57,149,9
46059,2015,special,cong,85,0.4117647058823529,0.5882352941176471,0,35,50,0
46060,2015,special,cong,220,0.32727272727272727,0.6681818181818182,0.004545454545454545,72,147,1
46061,2015,special,cong,121,0.4380165289256198,0.5619834710743802,0,53,68,0
46062,2015,special,cong,179,0.3016759776536313,0.6815642458100558,0.01675977653631285,54,122,3
46064,2015,special,cong,162,0.3395061728395062,0.654320987654321,0.006172839506172839,55,106,1
46065,2015,special,cong,163,0.3374233128834356,0.656441717791411,0.006134969325153374,55,107,1
46066,2015,special,cong,95,0.3368421052631579,0.6631578947368421,0,32,63,0
46067,2015,special,cong,134,0.5074626865671642,0.4925373134328358,0,68,66,0
46068,2015,special,cong,149,0.4899328859060403,0.5100671140939598,0,73,76,0
46069,2015,special,cong,141,0.48226950354609927,0.5035460992907801,0.014184397163120567,68,71,2
46070,2015,special,cong,93,0.5053763440860215,0.4946236559139785,0,47,46,0
46071,2015,special,cong,99,0.5252525252525253,0.47474747474747475,0,52,47,0
46072,2015,special,cong,129,0.31007751937984496,0.6744186046511628,0.015503875968992248,40,87,2
46075,2015,special,cong,0,NaN,NaN,NaN,0,0,0
47001,2015,special,cong,59,0.4745762711864407,0.5254237288135594,0,28,31,0
47002,2015,special,cong,43,0.37209302325581395,0.627906976744186,0,16,27,0
47006,2015,special,cong,84,0.2976190476190476,0.7023809523809523,0,25,59,0
47007,2015,special,cong,91,0.4175824175824176,0.5714285714285714,0.01098901098901099,38,52,1
47009,2015,special,cong,63,0.5079365079365079,0.49206349206349204,0,32,31,0
47012,2015,special,cong,67,0.3880597014925373,0.5970149253731343,0.014925373134328358,26,40,1
47013,2015,special,cong,111,0.4864864864864865,0.5135135135135135,0,54,57,0
47015,2015,special,cong,74,0.527027027027027,0.47297297297297297,0,39,35,0
47018,2015,special,cong,64,0.46875,0.515625,0.015625,30,33,1
47041,2015,special,cong,111,0.38738738738738737,0.6126126126126126,0,43,68,0
47049,2015,special,cong,52,0.46153846153846156,0.4807692307692308,0.057692307692307696,24,25,3
47053,2015,special,cong,68,0,0.9705882352941176,0.029411764705882353,0,66,2
47055,2015,special,cong,77,0.5454545454545454,0.45454545454545453,0,42,35,0
47057,2015,special,cong,99,0.31313131313131315,0.6363636363636364,0.050505050505050504,31,63,5
47058,2015,special,cong,62,0.3709677419354839,0.6290322580645161,0,23,39,0
47059,2015,special,cong,63,0.36507936507936506,0.6349206349206349,0,23,40,0
47060,2015,special,cong,31,0.22580645161290322,0.7096774193548387,0.06451612903225806,7,22,2
47062,2015,special,cong,43,0.5348837209302325,0.46511627906976744,0,23,20,0
47063,2015,special,cong,36,0.4444444444444444,0.5,0.05555555555555555,16,18,2
47064,2015,special,cong,66,0.48484848484848486,0.5151515151515151,0,32,34,0
47066,2015,special,cong,37,0.4594594594594595,0.5405405405405406,0,17,20,0
49044,2015,special,cong,26,0.46153846153846156,0.5,0.038461538461538464,12,13,1
49045,2015,special,cong,27,0.25925925925925924,0.7407407407407407,0,7,20,0
49048,2015,special,cong,111,0.36036036036036034,0.6396396396396397,0,40,71,0
49049,2015,special,cong,51,0.35294117647058826,0.6274509803921569,0.0196078431372549,18,32,1
49050,2015,special,cong,76,0.25,0.7368421052631579,0.013157894736842105,19,56,1
49052,2015,special,cong,72,0.20833333333333334,0.7916666666666666,0,15,57,0
49053,2015,special,cong,147,0.2925170068027211,0.7006802721088435,0.006802721088435374,43,103,1
49054,2015,special,cong,117,0.4017094017094017,0.5982905982905983,0,47,70,0
51059,2015,special,cong,92,0.25,0.7391304347826086,0.010869565217391304,23,68,1
