elect_dist,year,type,office,total_votes,bardel_prop,grimm_prop,recchia_prop,bardel_tot,grimm_tot,recchia_tot
63038,2014,general,cong,296,0.02027027027027027,0.30405405405405406,0.6756756756756757,6,90,200
63039,2014,general,cong,251,0.00796812749003984,0.3386454183266932,0.6533864541832669,2,85,164
63040,2014,general,cong,189,0.015873015873015872,0.19576719576719576,0.7883597883597884,3,37,149
63041,2014,general,cong,134,0.022388059701492536,0.11194029850746269,0.8656716417910447,3,15,116
63042,2014,general,cong,251,0.01195219123505976,0.055776892430278883,0.9322709163346613,3,14,234
63043,2014,general,cong,260,0.0038461538461538464,0.1423076923076923,0.8538461538461538,1,37,222
63044,2014,general,cong,197,0.01015228426395939,0.1116751269035533,0.8781725888324873,2,22,173
63045,2014,general,cong,199,0.005025125628140704,0.07537688442211055,0.9195979899497487,1,15,183
63046,2014,general,cong,175,0.017142857142857144,0.6628571428571428,0.32,3,116,56
63047,2014,general,cong,368,0.019021739130434784,0.6875,0.29347826086956524,7,253,108
63048,2014,general,cong,342,0.023391812865497075,0.7339181286549707,0.24269005847953215,8,251,83
63049,2014,general,cong,364,0.04395604395604396,0.7252747252747253,0.23076923076923078,16,264,84
63050,2014,general,cong,364,0.03021978021978022,0.5659340659340659,0.40384615384615385,11,206,147
63051,2014,general,cong,296,0.02364864864864865,0.7128378378378378,0.2635135135135135,7,211,78
63052,2014,general,cong,239,0.012552301255230125,0.6610878661087866,0.3263598326359833,3,158,78
63053,2014,general,cong,211,0.014218009478672985,0.5592417061611374,0.4265402843601896,3,118,90
63054,2014,general,cong,400,0.0225,0.5375,0.44,9,215,176
63055,2014,general,cong,247,0.020242914979757085,0.5910931174089069,0.38866396761133604,5,146,96
63056,2014,general,cong,269,0.022304832713754646,0.5018587360594795,0.4758364312267658,6,135,128
63057,2014,general,cong,436,0.011467889908256881,0.7339449541284404,0.2545871559633027,5,320,111
63058,2014,general,cong,382,0.013089005235602094,0.725130890052356,0.2617801047120419,5,277,100
63059,2014,general,cong,374,0.045454545454545456,0.6497326203208557,0.3048128342245989,17,243,114
63060,2014,general,cong,355,0.02535211267605634,0.6084507042253521,0.36619718309859156,9,216,130
63061,2014,general,cong,274,0.058394160583941604,0.4927007299270073,0.4489051094890511,16,135,123
63062,2014,general,cong,262,0.026717557251908396,0.7290076335877863,0.24427480916030533,7,191,64
63063,2014,general,cong,386,0.03626943005181347,0.6424870466321243,0.32124352331606215,14,248,124
63064,2014,general,cong,487,0.03285420944558522,0.7063655030800822,0.26078028747433263,16,344,127
63065,2014,general,cong,319,0.025078369905956112,0.6144200626959248,0.3605015673981191,8,196,115
63066,2014,general,cong,390,0.05641025641025641,0.6153846153846154,0.3282051282051282,22,240,128
63067,2014,general,cong,311,0.02572347266881029,0.7009646302250804,0.2733118971061093,8,218,85
63068,2014,general,cong,283,0.02120141342756184,0.3745583038869258,0.6042402826855123,6,106,171
63069,2014,general,cong,181,0.022099447513812154,0.585635359116022,0.39226519337016574,4,106,71
63070,2014,general,cong,173,0.06358381502890173,0.5780346820809249,0.3583815028901734,11,100,62
63071,2014,general,cong,189,0.010582010582010581,0.19047619047619047,0.798941798941799,2,36,151
63072,2014,general,cong,319,0.025078369905956112,0.6363636363636364,0.3385579937304075,8,203,108
63073,2014,general,cong,261,0.04597701149425287,0.6360153256704981,0.31800766283524906,12,166,83
63074,2014,general,cong,178,0.0449438202247191,0.5449438202247191,0.4101123595505618,8,97,73
63075,2014,general,cong,182,0.027472527472527472,0.21428571428571427,0.7582417582417582,5,39,138
63076,2014,general,cong,0,NaN,NaN,NaN,0,0,0
63077,2014,general,cong,0,NaN,NaN,NaN,0,0,0
63078,2014,general,cong,0,NaN,NaN,NaN,0,0,0
63079,2014,general,cong,0,NaN,NaN,NaN,0,0,0
64001,2014,general,cong,305,0.01639344262295082,0.7967213114754098,0.18688524590163935,5,243,57
64002,2014,general,cong,378,0.037037037037037035,0.7777777777777778,0.18518518518518517,14,294,70
64003,2014,general,cong,430,0.020930232558139535,0.7744186046511627,0.20465116279069767,9,333,88
64004,2014,general,cong,316,0.015822784810126583,0.7531645569620253,0.2310126582278481,5,238,73
64005,2014,general,cong,396,0.022727272727272728,0.6919191919191919,0.28535353535353536,9,274,113
64006,2014,general,cong,324,0.024691358024691357,0.7839506172839507,0.19135802469135801,8,254,62
64007,2014,general,cong,367,0.021798365122615803,0.8065395095367848,0.17166212534059946,8,296,63
64008,2014,general,cong,374,0.029411764705882353,0.713903743315508,0.25668449197860965,11,267,96
64009,2014,general,cong,397,0.015113350125944584,0.7682619647355163,0.21662468513853905,6,305,86
64010,2014,general,cong,372,0.008064516129032258,0.7741935483870968,0.21774193548387097,3,288,81
64011,2014,general,cong,115,0.034782608695652174,0.8608695652173913,0.10434782608695652,4,99,12
64012,2014,general,cong,243,0.024691358024691357,0.8436213991769548,0.13168724279835392,6,205,32
64013,2014,general,cong,116,0.017241379310344827,0.6551724137931034,0.3275862068965517,2,76,38
64014,2014,general,cong,340,0.011764705882352941,0.7558823529411764,0.2323529411764706,4,257,79
64015,2014,general,cong,410,0.01707317073170732,0.7829268292682927,0.2,7,321,82
64016,2014,general,cong,422,0.037914691943127965,0.7440758293838863,0.21800947867298578,16,314,92
64017,2014,general,cong,410,0.026829268292682926,0.7219512195121951,0.25121951219512195,11,296,103
64018,2014,general,cong,321,0.012461059190031152,0.6853582554517134,0.30218068535825543,4,220,97
64019,2014,general,cong,284,0.035211267605633804,0.5,0.4647887323943662,10,142,132
64020,2014,general,cong,318,0.012578616352201259,0.7484276729559748,0.2389937106918239,4,238,76
64021,2014,general,cong,297,0.016835016835016835,0.7710437710437711,0.21212121212121213,5,229,63
64022,2014,general,cong,388,0.028350515463917526,0.6881443298969072,0.28350515463917525,11,267,110
64023,2014,general,cong,414,0.01932367149758454,0.6835748792270532,0.2971014492753623,8,283,123
64024,2014,general,cong,322,0.024844720496894408,0.7391304347826086,0.2360248447204969,8,238,76
64025,2014,general,cong,283,0.007067137809187279,0.784452296819788,0.20848056537102475,2,222,59
64026,2014,general,cong,392,0.03571428571428571,0.7244897959183674,0.23979591836734693,14,284,94
64027,2014,general,cong,253,0.011857707509881422,0.766798418972332,0.22134387351778656,3,194,56
64028,2014,general,cong,223,0.013452914798206279,0.7713004484304933,0.21524663677130046,3,172,48
64029,2014,general,cong,332,0.018072289156626505,0.7168674698795181,0.26506024096385544,6,238,88
64030,2014,general,cong,254,0.011811023622047244,0.7204724409448819,0.2677165354330709,3,183,68
64031,2014,general,cong,304,0.02631578947368421,0.6644736842105263,0.3092105263157895,8,202,94
64032,2014,general,cong,341,0.02932551319648094,0.6656891495601173,0.30498533724340177,10,227,104
64033,2014,general,cong,267,0.02247191011235955,0.7752808988764045,0.20224719101123595,6,207,54
64034,2014,general,cong,304,0.01644736842105263,0.6019736842105263,0.3815789473684211,5,183,116
64035,2014,general,cong,343,0.01749271137026239,0.6880466472303207,0.2944606413994169,6,236,101
64036,2014,general,cong,315,0.01904761904761905,0.5904761904761905,0.3904761904761905,6,186,123
64037,2014,general,cong,261,0.03065134099616858,0.6628352490421456,0.3065134099616858,8,173,80
64038,2014,general,cong,226,0.030973451327433628,0.5442477876106194,0.4247787610619469,7,123,96
64039,2014,general,cong,250,0.024,0.676,0.3,6,169,75
64040,2014,general,cong,242,0.02066115702479339,0.4297520661157025,0.5495867768595041,5,104,133
64041,2014,general,cong,281,0.017793594306049824,0.6476868327402135,0.33451957295373663,5,182,94
64042,2014,general,cong,236,0.025423728813559324,0.5635593220338984,0.4110169491525424,6,133,97
64043,2014,general,cong,187,0.016042780748663103,0.5989304812834224,0.3850267379679144,3,112,72
64044,2014,general,cong,283,0.02120141342756184,0.5901060070671378,0.38869257950530034,6,167,110
64045,2014,general,cong,172,0.01744186046511628,0.5872093023255814,0.3953488372093023,3,101,68
64046,2014,general,cong,214,0.014018691588785047,0.6635514018691588,0.32242990654205606,3,142,69
64047,2014,general,cong,198,0.06060606060606061,0.5808080808080808,0.35858585858585856,12,115,71
64048,2014,general,cong,202,0.019801980198019802,0.7920792079207921,0.18811881188118812,4,160,38
64049,2014,general,cong,376,0.0398936170212766,0.425531914893617,0.5345744680851063,15,160,201
64050,2014,general,cong,346,0.05202312138728324,0.5375722543352601,0.41040462427745666,18,186,142
64051,2014,general,cong,258,0.015503875968992248,0.5465116279069767,0.437984496124031,4,141,113
64052,2014,general,cong,306,0.00980392156862745,0.5555555555555556,0.434640522875817,3,170,133
64053,2014,general,cong,276,0.036231884057971016,0.5181159420289855,0.44565217391304346,10,143,123
64054,2014,general,cong,0,NaN,NaN,NaN,0,0,0
64056,2014,general,cong,0,NaN,NaN,NaN,0,0,0
64058,2014,general,cong,0,NaN,NaN,NaN,0,0,0
64059,2014,general,cong,0,NaN,NaN,NaN,0,0,0
64075,2014,general,cong,332,0.0572289156626506,0.3855421686746988,0.5572289156626506,19,128,185
64076,2014,general,cong,312,0.0641025641025641,0.40384615384615385,0.532051282051282,20,126,166
64077,2014,general,cong,375,0.04,0.37866666666666665,0.5813333333333334,15,142,218
64078,2014,general,cong,358,0.030726256983240222,0.33519553072625696,0.6340782122905028,11,120,227
64079,2014,general,cong,257,0.05058365758754864,0.377431906614786,0.5719844357976653,13,97,147
64080,2014,general,cong,286,0.07692307692307693,0.3321678321678322,0.5909090909090909,22,95,169
64081,2014,general,cong,109,0.05504587155963303,0.3486238532110092,0.5963302752293578,6,38,65
64083,2014,general,cong,316,0.060126582278481014,0.3829113924050633,0.5569620253164557,19,121,176
64084,2014,general,cong,311,0.022508038585209004,0.43729903536977494,0.5401929260450161,7,136,168
64085,2014,general,cong,316,0.02531645569620253,0.38924050632911394,0.5854430379746836,8,123,185
64086,2014,general,cong,230,0.06521739130434782,0.3652173913043478,0.5695652173913044,15,84,131
64087,2014,general,cong,205,0.02926829268292683,0.4292682926829268,0.5414634146341464,6,88,111
64088,2014,general,cong,298,0.04697986577181208,0.34563758389261745,0.6073825503355704,14,103,181
64089,2014,general,cong,344,0.01744186046511628,0.6162790697674418,0.36627906976744184,6,212,126
64090,2014,general,cong,345,0.020289855072463767,0.4492753623188406,0.5304347826086957,7,155,183
64091,2014,general,cong,157,0.050955414012738856,0.5796178343949044,0.36942675159235666,8,91,58
64092,2014,general,cong,0,NaN,NaN,NaN,0,0,0
