elect_dist,year,type,office,total_votes,bardel_prop,grimm_prop,recchia_prop,bardel_tot,grimm_tot,recchia_tot
46056,2014,general,cong,298,0.020134228187919462,0.3724832214765101,0.6073825503355704,6,111,181
46057,2014,general,cong,384,0.033854166666666664,0.4453125,0.5208333333333334,13,171,200
46058,2014,general,cong,259,0.03474903474903475,0.36293436293436293,0.6023166023166023,9,94,156
46059,2014,general,cong,260,0.05384615384615385,0.3769230769230769,0.5692307692307692,14,98,148
46060,2014,general,cong,429,0.04195804195804196,0.4289044289044289,0.5291375291375291,18,184,227
46061,2014,general,cong,286,0.03146853146853147,0.479020979020979,0.48951048951048953,9,137,140
46062,2014,general,cong,413,0.05084745762711865,0.3922518159806295,0.5569007263922519,21,162,230
46063,2014,general,cong,227,0.039647577092511016,0.3832599118942731,0.5770925110132159,9,87,131
46064,2014,general,cong,344,0.03488372093023256,0.44476744186046513,0.5203488372093024,12,153,179
46065,2014,general,cong,351,0.02849002849002849,0.46153846153846156,0.50997150997151,10,162,179
46066,2014,general,cong,157,0.025477707006369428,0.42038216560509556,0.554140127388535,4,66,87
46067,2014,general,cong,324,0.030864197530864196,0.6265432098765432,0.3425925925925926,10,203,111
46068,2014,general,cong,326,0.015337423312883436,0.558282208588957,0.4263803680981595,5,182,139
46069,2014,general,cong,366,0.01912568306010929,0.592896174863388,0.3879781420765027,7,217,142
46070,2014,general,cong,272,0.03308823529411765,0.6875,0.27941176470588236,9,187,76
46071,2014,general,cong,299,0.020066889632107024,0.5919732441471572,0.3879598662207358,6,177,116
46072,2014,general,cong,264,0.03787878787878788,0.5151515151515151,0.44696969696969696,10,136,118
46074,2014,general,cong,21,0,0.38095238095238093,0.6190476190476191,0,8,13
46075,2014,general,cong,0,NaN,NaN,NaN,0,0,0
47001,2014,general,cong,188,0.010638297872340425,0.42021276595744683,0.5691489361702128,2,79,107
47002,2014,general,cong,181,0.022099447513812154,0.4419889502762431,0.5359116022099447,4,80,97
47005,2014,general,cong,161,0.012422360248447204,0.43478260869565216,0.5527950310559007,2,70,89
47006,2014,general,cong,122,0.04918032786885246,0.36885245901639346,0.5819672131147541,6,45,71
47007,2014,general,cong,151,0.046357615894039736,0.4370860927152318,0.5165562913907285,7,66,78
47008,2014,general,cong,144,0.027777777777777776,0.4722222222222222,0.5,4,68,72
47009,2014,general,cong,207,0.024154589371980676,0.5603864734299517,0.41545893719806765,5,116,86
47011,2014,general,cong,140,0.02142857142857143,0.5071428571428571,0.4714285714285714,3,71,66
47012,2014,general,cong,130,0.015384615384615385,0.4230769230769231,0.5615384615384615,2,55,73
47013,2014,general,cong,172,0.011627906976744186,0.38372093023255816,0.6046511627906976,2,66,104
47014,2014,general,cong,204,0.0196078431372549,0.46568627450980393,0.5147058823529411,4,95,105
47015,2014,general,cong,186,0.016129032258064516,0.46774193548387094,0.5161290322580645,3,87,96
47016,2014,general,cong,101,0.019801980198019802,0.48514851485148514,0.49504950495049505,2,49,50
47017,2014,general,cong,111,0.018018018018018018,0.2702702702702703,0.7117117117117117,2,30,79
47018,2014,general,cong,206,0.024271844660194174,0.5728155339805825,0.4029126213592233,5,118,83
47019,2014,general,cong,38,0.05263157894736842,0.42105263157894735,0.5263157894736842,2,16,20
47032,2014,general,cong,44,0.06818181818181818,0.25,0.6818181818181818,3,11,30
47038,2014,general,cong,49,0.02040816326530612,0.42857142857142855,0.5510204081632653,1,21,27
47041,2014,general,cong,163,0.012269938650306749,0.4171779141104294,0.5705521472392638,2,68,93
47048,2014,general,cong,104,0.04807692307692308,0.5096153846153846,0.4423076923076923,5,53,46
47049,2014,general,cong,262,0.015267175572519083,0.49236641221374045,0.49236641221374045,4,129,129
47053,2014,general,cong,143,0.027972027972027972,0.04895104895104895,0.9230769230769231,4,7,132
47054,2014,general,cong,117,0.017094017094017096,0.008547008547008548,0.9743589743589743,2,1,114
47055,2014,general,cong,175,0.005714285714285714,0.37142857142857144,0.6228571428571429,1,65,109
