elect_dist,year,type,office,total_votes,bardel_prop,donovan_prop,reichard_prop,bardel_tot,donovan_tot,reichard_tot
46038,2016,general,cong,550,0.012727272727272728,0.5527272727272727,0.43454545454545457,7,304,239
46039,2016,general,cong,499,0.02404809619238477,0.4709418837675351,0.5050100200400801,12,235,252
46040,2016,general,cong,142,0.02112676056338028,0.4154929577464789,0.5633802816901409,3,59,80
46041,2016,general,cong,684,0.019005847953216373,0.47953216374269003,0.5014619883040936,13,328,343
46042,2016,general,cong,266,0.018796992481203006,0.5714285714285714,0.40977443609022557,5,152,109
46047,2016,general,cong,507,0.015779092702169626,0.5857988165680473,0.398422090729783,8,297,202
46048,2016,general,cong,582,0.041237113402061855,0.4209621993127148,0.5378006872852233,24,245,313
46049,2016,general,cong,581,0.029259896729776247,0.4268502581755594,0.5438898450946644,17,248,316
46050,2016,general,cong,707,0.03536067892503536,0.5572842998585573,0.4073550212164074,25,394,288
46051,2016,general,cong,657,0.015220700152207,0.6362252663622526,0.3485540334855403,10,418,229
46052,2016,general,cong,626,0.020766773162939296,0.5543130990415336,0.4249201277955272,13,347,266
46053,2016,general,cong,607,0.04118616144975288,0.4942339373970346,0.4645799011532125,25,300,282
46054,2016,general,cong,521,0.028790786948176585,0.44529750479846447,0.525911708253359,15,232,274
46055,2016,general,cong,631,0.030110935023771792,0.38351822503961963,0.5863708399366085,19,242,370
46056,2016,general,cong,564,0.040780141843971635,0.33687943262411346,0.6223404255319149,23,190,351
46057,2016,general,cong,605,0.03966942148760331,0.5289256198347108,0.43140495867768597,24,320,261
46058,2016,general,cong,592,0.04222972972972973,0.36655405405405406,0.5912162162162162,25,217,350
46059,2016,general,cong,650,0.047692307692307694,0.35384615384615387,0.5984615384615385,31,230,389
46060,2016,general,cong,768,0.02734375,0.4856770833333333,0.4869791666666667,21,373,374
46061,2016,general,cong,652,0.02147239263803681,0.5199386503067485,0.45858895705521474,14,339,299
46062,2016,general,cong,821,0.03532277710109622,0.4482338611449452,0.5164433617539586,29,368,424
46063,2016,general,cong,486,0.026748971193415638,0.43004115226337447,0.5432098765432098,13,209,264
46064,2016,general,cong,695,0.030215827338129497,0.4920863309352518,0.4776978417266187,21,342,332
46065,2016,general,cong,668,0.02844311377245509,0.46107784431137727,0.5104790419161677,19,308,341
46066,2016,general,cong,394,0.030456852791878174,0.47715736040609136,0.49238578680203043,12,188,194
