elect_dist,total_votes_12_adj,obama_tot_adj,romney_tot_adj,obama_prop_adj,romney_prop_adj
62020,644,200,441,0.3105590062111801,0.6847826086956522
62021,589,137,445,0.23259762308998302,0.7555178268251274
62022,659,195,459,0.2959028831562974,0.6965098634294385
62023,641,184,451,0.2870514820592824,0.7035881435257411
62024,611,262,338,0.4288052373158756,0.5531914893617021
62025,671,199,469,0.2965722801788376,0.698956780923994
62026,670,344,315,0.5134328358208955,0.4701492537313433
62027,647,241,400,0.37248840803709427,0.6182380216383307
62028,610,214,390,0.35081967213114756,0.639344262295082
62029,542,143,394,0.26383763837638374,0.7269372693726938
62030,688,150,529,0.2180232558139535,0.7688953488372093
62031,659,220,436,0.3338391502276176,0.661608497723824
62032,659,188,464,0.2852807283763278,0.7040971168437026
62033,663,165,494,0.248868778280543,0.7450980392156863
62034,703,184,511,0.26173541963015645,0.7268847795163584
62035,690,150,535,0.21739130434782608,0.7753623188405797
62036,683,204,474,0.2986822840409956,0.6939970717423133
62037,704,188,511,0.26704545454545453,0.7258522727272727
62038,634,234,388,0.36908517350157727,0.61198738170347
62039,681,194,483,0.28487518355359764,0.7092511013215859
62040,630,204,419,0.3238095238095238,0.665079365079365
62041,593,187,395,0.31534569983136596,0.6661045531197302
62042,707,264,435,0.3734087694483734,0.6152758132956153
62043,666,231,432,0.34684684684684686,0.6486486486486487
62044,659,240,410,0.36418816388467373,0.622154779969651
62045,579,191,378,0.3298791018998273,0.6528497409326425
62046,648,208,432,0.32098765432098764,0.6666666666666666
62047,707,251,449,0.355021216407355,0.635077793493635
62048,623,224,394,0.3595505617977528,0.6324237560192616
62049,651,233,413,0.3579109062980031,0.6344086021505376
62050,623,198,419,0.31781701444622795,0.6725521669341894
62051,631,264,364,0.4183835182250396,0.5768621236133122
62052,633,240,390,0.3791469194312796,0.6161137440758294
62053,681,267,406,0.3920704845814978,0.5961820851688693
62054,677,295,374,0.4357459379615953,0.552437223042836
62055,644,219,422,0.34006211180124224,0.65527950310559
62056,606,217,381,0.3580858085808581,0.6287128712871287
62057,582,194,380,0.3333333333333333,0.6529209621993127
62058,659,213,442,0.3232169954476479,0.6707132018209409
62059,484,195,285,0.40289256198347106,0.5888429752066116
62060,357,115,236,0.32212885154061627,0.6610644257703081
62061,458,200,251,0.4366812227074236,0.5480349344978166
62062,416,156,255,0.375,0.6129807692307693
62063,335,156,176,0.46567164179104475,0.5253731343283582
62064,343,116,220,0.33819241982507287,0.641399416909621
62065,696,179,511,0.257183908045977,0.7341954022988506
62066,729,217,507,0.29766803840877915,0.6954732510288066
62067,685,259,413,0.3781021897810219,0.602919708029197
62068,660,256,392,0.3878787878787879,0.593939393939394
62069,412,149,260,0.3616504854368932,0.6310679611650486
62070,528,189,335,0.35795454545454547,0.634469696969697
62071,511,169,339,0.33072407045009783,0.6634050880626223
62072,652,180,466,0.27607361963190186,0.7147239263803681
62073,410,142,264,0.3463414634146341,0.6439024390243903
62076,262,78,181,0.29770992366412213,0.6908396946564885
63001,650,317,319,0.4876923076923077,0.4907692307692308
63002,511,323,182,0.6320939334637965,0.3561643835616438
63003,448,283,163,0.6316964285714286,0.3638392857142857
63004,570,205,358,0.35964912280701755,0.6280701754385964
63005,628,256,367,0.40764331210191085,0.5843949044585988
63006,554,248,303,0.44765342960288806,0.5469314079422383
63007,586,368,212,0.6279863481228669,0.36177474402730375
63008,429,199,226,0.46386946386946387,0.5268065268065268
63009,43,15,26,0.3488372093023256,0.6046511627906976
63010,287,193,86,0.6724738675958188,0.29965156794425085
63011,695,383,306,0.5510791366906475,0.44028776978417267
63012,658,362,287,0.5501519756838906,0.43617021276595747
63013,647,398,234,0.615146831530139,0.3616692426584235
63014,542,291,243,0.5369003690036901,0.4483394833948339
63015,642,329,308,0.5124610591900312,0.4797507788161994
63016,599,296,287,0.4941569282136895,0.4791318864774624
63017,219,115,102,0.5251141552511416,0.4657534246575342
63018,561,227,331,0.40463458110516937,0.5900178253119429
63019,322,170,145,0.5279503105590062,0.4503105590062112
63020,461,181,274,0.3926247288503254,0.5943600867678959
63021,634,252,375,0.39747634069400634,0.5914826498422713
63022,512,272,230,0.53125,0.44921875
63023,463,236,221,0.509719222462203,0.4773218142548596
63024,630,318,305,0.5047619047619047,0.48412698412698413
63025,657,226,430,0.3439878234398782,0.654490106544901
63026,580,148,429,0.25517241379310346,0.7396551724137931
63027,554,246,302,0.44404332129963897,0.5451263537906137
63028,622,247,371,0.3971061093247588,0.5964630225080386
63029,674,313,356,0.46439169139465875,0.5281899109792285
63030,591,333,257,0.5634517766497462,0.43485617597292725
63031,593,341,243,0.5750421585160203,0.40978077571669475
63032,723,371,343,0.5131396957123098,0.47441217150760717
63033,578,240,328,0.41522491349480967,0.5674740484429066
63034,385,180,203,0.4675324675324675,0.5272727272727272
