ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,ADED,PluralCong12,PluralCongVotes,GrimmTot,MurphyTot
2012G,20,3,11,45,043,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    43rd,405,20,2,0,32,390,0,69,Democratic,Mark S. Murphy,182,Republican,Michael G. Grimm,181,Conservative,Michael G. Grimm,19,Working Families,Mark S. Murphy,6,Green,Henry J. Bardel,2,45043,2,200,200,188
2012G,20,3,11,45,044,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    44th,137,2,0,0,23,140,0,22,Democratic,Mark S. Murphy,73,Republican,Michael G. Grimm,54,Conservative,Michael G. Grimm,6,Working Families,Mark S. Murphy,6,Green,Henry J. Bardel,1,45044,1,79,60,79
2012G,20,3,11,45,045,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    45th,418,3,1,0,42,391,0,73,Democratic,Mark S. Murphy,348,Republican,Michael G. Grimm,31,Conservative,Michael G. Grimm,4,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,1,45045,1,355,35,355
2012G,20,3,11,45,046,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    46th,494,4,1,0,76,512,0,63,Democratic,Mark S. Murphy,469,Republican,Michael G. Grimm,30,Conservative,Michael G. Grimm,5,Working Families,Mark S. Murphy,8,Green,Henry J. Bardel,0,45046,1,477,35,477
2012G,20,3,11,45,047,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    47th,32,0,0,0,10,37,0,5,Democratic,Mark S. Murphy,26,Republican,Michael G. Grimm,8,Conservative,Michael G. Grimm,1,Working Families,Mark S. Murphy,2,Green,Henry J. Bardel,0,45047,1,28,9,28
2012G,20,3,11,45,048,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    48th,558,13,3,0,37,531,0,80,Democratic,Mark S. Murphy,258,Republican,Michael G. Grimm,235,Conservative,Michael G. Grimm,22,Working Families,Mark S. Murphy,11,Green,Henry J. Bardel,5,45048,1,269,257,269
2012G,20,3,11,45,080,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    80th,251,13,1,0,42,248,1,59,Democratic,Mark S. Murphy,83,Republican,Michael G. Grimm,151,Conservative,Michael G. Grimm,7,Working Families,Mark S. Murphy,3,Green,Henry J. Bardel,3,45080,2,158,158,86
2012G,20,3,11,45,081,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    81st,367,15,3,0,30,343,1,72,Democratic,Mark S. Murphy,176,Republican,Michael G. Grimm,148,Conservative,Michael G. Grimm,14,Working Families,Mark S. Murphy,3,Green,Henry J. Bardel,1,45081,1,179,162,179
2012G,20,3,11,46,037,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    37th,18,1,0,0,5,22,0,2,Democratic,Mark S. Murphy,11,Republican,Michael G. Grimm,10,Conservative,Michael G. Grimm,1,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46037,1,11,11,11
2012G,20,3,11,46,038,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    38th,414,33,6,0,96,445,2,104,Democratic,Mark S. Murphy,189,Republican,Michael G. Grimm,230,Conservative,Michael G. Grimm,13,Working Families,Mark S. Murphy,5,Green,Henry J. Bardel,6,46038,2,243,243,194
